source,target,start,end
lorenzoxmartins,delucca,2018-07-24 13:00:47,2018-07-24 13:00:47
Fernomeno05,delucca,2018-07-24 13:00:43,2018-07-24 13:00:43
nordeste123,delucca,2018-07-24 13:00:31,2018-07-24 13:00:31
Lucasaunt7,delucca,2018-07-24 12:59:46,2018-07-24 12:59:46
VitorRibeiro,cyrusafa,2018-07-24 12:59:23,2018-07-24 12:59:23
LeCommunard,delucca,2018-07-24 12:58:56,2018-07-24 12:58:56
Lucasaunt7,delucca,2018-07-24 12:58:52,2018-07-24 12:58:52
JackieZoso,delucca,2018-07-24 12:58:46,2018-07-24 12:58:46
EstelitaBorges,cyrusafa,2018-07-24 12:58:31,2018-07-24 12:58:31
Lucasaunt7,delucca,2018-07-24 12:58:31,2018-07-24 12:58:31
Lucasaunt7,delucca,2018-07-24 12:58:17,2018-07-24 12:58:17
tourinho_victor,delucca,2018-07-24 12:57:57,2018-07-24 12:57:57
Caarol_SSP,delucca,2018-07-24 12:57:23,2018-07-24 12:57:23
mrsmorningstar7,delucca,2018-07-24 12:57:21,2018-07-24 12:57:21
masnemtdhomemzz,delucca,2018-07-24 12:57:12,2018-07-24 12:57:12
frc_vfco,MarciNog,2018-07-24 12:56:42,2018-07-24 12:56:42
Celia13Guevara,delucca,2018-07-24 12:55:35,2018-07-24 12:55:35
